ID,Source IP,Destination IP,TTL,TOS,Source Port,Destination Port,Flags,Protocol
ID,Source IP,Destination IP,TTL,TOS,Source Port,Destination Port,Flags,Protocol
ID,Source IP,Destination IP,TTL,TOS,Source Port,Destination Port,Flags,Protocol
1793,10.0.2.15,44.215.129.38,64,0,34594,443,-A-,TCP
7914,44.215.129.38,10.0.2.15,64,0,443,34594,-A-,TCP
64150,10.0.2.15,3.161.8.128,64,0,39102,80,-A-,TCP
6210,10.0.2.15,3.161.8.128,64,0,46182,80,-A-,TCP
7915,3.161.8.128,10.0.2.15,64,0,80,39102,-A-,TCP
7916,3.161.8.128,10.0.2.15,64,0,80,46182,-A-,TCP
7795,10.0.2.15,44.215.129.188,64,0,47794,443,-A-,TCP
32613,10.0.2.15,44.215.129.188,64,0,51168,443,S--,TCP
7917,44.215.129.188,10.0.2.15,64,0,443,47794,-A-,TCP
7918,44.215.129.188,10.0.2.15,64,0,443,47794,-A-,TCP
7919,44.215.129.188,10.0.2.15,64,0,443,47794,-A-,TCP
7920,44.215.129.188,10.0.2.15,64,0,443,47794,-A-,TCP
7798,10.0.2.15,44.215.129.188,64,0,47794,443,-A-,TCP
7921,44.215.129.188,10.0.2.15,64,0,443,51168,SA-,TCP
32614,10.0.2.15,44.215.129.188,64,0,51168,443,-A-,TCP
32615,10.0.2.15,44.215.129.188,64,0,51168,443,-A-,TCP
7922,44.215.129.188,10.0.2.15,64,0,443,51168,-A-,TCP
7923,44.215.129.188,10.0.2.15,64,0,443,51168,-A-,TCP
7924,44.215.129.188,10.0.2.15,64,0,443,51168,-A-,TCP
32617,10.0.2.15,44.215.129.188,64,0,51168,443,-A-,TCP
32618,10.0.2.15,44.215.129.188,64,0,51168,443,-A-,TCP
7925,44.215.129.188,10.0.2.15,64,0,443,51168,-A-,TCP
7926,44.215.129.188,10.0.2.15,64,0,443,51168,-A-,TCP
32619,10.0.2.15,44.215.129.188,64,0,51168,443,-A-,TCP
35337,10.0.2.15,3.161.8.128,64,0,46150,80,-A-,TCP
14737,10.0.2.15,3.161.8.128,64,0,46134,80,-A-,TCP
51739,10.0.2.15,34.107.221.82,64,0,60640,80,-A-,TCP
7927,3.161.8.128,10.0.2.15,64,0,80,46150,-A-,TCP
7928,3.161.8.128,10.0.2.15,64,0,80,46134,-A-,TCP
7929,34.107.221.82,10.0.2.15,64,0,80,60640,-A-,TCP
37812,10.0.2.15,38.71.2.199,64,0,37294,443,-A-,TCP
3724,10.0.2.15,44.215.129.188,64,0,47810,443,-A-,TCP
57000,10.0.2.15,192.178.56.227,64,0,36586,80,-A-,TCP
7930,38.71.2.199,10.0.2.15,64,0,443,37294,-A-,TCP
7931,44.215.129.188,10.0.2.15,64,0,443,47810,-A-,TCP
7932,192.178.56.227,10.0.2.15,64,0,80,36586,-A-,TCP
55382,10.0.2.15,192.178.56.227,64,0,33790,80,-A-,TCP
7933,192.178.56.227,10.0.2.15,64,0,80,33790,-A-,TCP
50904,10.0.2.15,3.161.8.128,64,0,46152,80,-A-,TCP
7934,3.161.8.128,10.0.2.15,64,0,80,46152,-A-,TCP
59356,10.0.2.15,38.71.2.199,64,0,37300,443,-A-,TCP
7935,38.71.2.199,10.0.2.15,64,0,443,37300,-A-,TCP
20981,10.0.2.15,192.229.211.108,64,0,39864,80,-A-,TCP
34387,10.0.2.15,192.229.211.108,64,0,39836,80,-A-,TCP
16056,10.0.2.15,192.229.211.108,64,0,39850,80,-A-,TCP
7936,192.229.211.108,10.0.2.15,64,0,80,39864,-A-,TCP
7937,192.229.211.108,10.0.2.15,64,0,80,39836,-A-,TCP
7938,192.229.211.108,10.0.2.15,64,0,80,39850,-A-,TCP
13068,10.0.2.15,104.18.20.226,64,0,46156,80,-A-,TCP
50039,10.0.2.15,3.161.8.128,64,0,46156,80,-A-,TCP
48736,10.0.2.15,3.161.8.128,64,0,46158,80,-A-,TCP
56071,10.0.2.15,189.202.184.145,64,0,51478,80,-A-,TCP
7939,104.18.20.226,10.0.2.15,64,0,80,46156,-A-,TCP
7940,3.161.8.128,10.0.2.15,64,0,80,46156,-A-,TCP
7941,3.161.8.128,10.0.2.15,64,0,80,46158,-A-,TCP
7942,189.202.184.145,10.0.2.15,64,0,80,51478,-A-,TCP
19825,10.0.2.15,98.82.157.231,64,0,33282,443,-A-,TCP
53386,10.0.2.15,98.82.157.231,64,0,33278,443,-A-,TCP
26463,10.0.2.15,50.57.31.206,64,0,47264,443,-A-,TCP
7943,98.82.157.231,10.0.2.15,64,0,443,33282,-A-,TCP
7944,98.82.157.231,10.0.2.15,64,0,443,33278,-A-,TCP
7945,50.57.31.206,10.0.2.15,64,0,443,47264,-A-,TCP
59747,10.0.2.15,98.82.157.231,64,0,53944,443,-A-,TCP
26312,10.0.2.15,3.161.8.128,64,0,56746,80,-A-,TCP
7946,98.82.157.231,10.0.2.15,64,0,443,53944,-A-,TCP
7947,3.161.8.128,10.0.2.15,64,0,80,56746,-A-,TCP
15899,10.0.2.15,54.239.17.248,64,0,57036,443,-A-,TCP
7316,10.0.2.15,98.82.157.231,64,0,33276,443,-A-,TCP
7948,54.239.17.248,10.0.2.15,64,0,443,57036,-A-,TCP
7949,98.82.157.231,10.0.2.15,64,0,443,33276,-A-,TCP
12676,10.0.2.15,34.107.221.82,64,0,60642,80,-A-,TCP
7950,34.107.221.82,10.0.2.15,64,0,80,60642,-A-,TCP
3768,10.0.2.15,192.178.56.227,64,0,36574,80,-A-,TCP
7951,192.178.56.227,10.0.2.15,64,0,80,36574,-A-,TCP
32620,10.0.2.15,44.215.129.188,64,0,51168,443,-A-,TCP
32621,10.0.2.15,44.215.129.188,64,0,51168,443,-A-,TCP
7952,44.215.129.188,10.0.2.15,64,0,443,51168,-A-,TCP
7953,44.215.129.188,10.0.2.15,64,0,443,51168,-A-,TCP
7799,10.0.2.15,44.215.129.188,64,0,47794,443,-A-,TCP
45836,10.0.2.15,44.215.129.188,64,0,55970,443,S--,TCP
7954,44.215.129.188,10.0.2.15,64,0,443,47794,-A-,TCP
7955,44.215.129.188,10.0.2.15,64,0,443,47794,-A-,TCP
7956,44.215.129.188,10.0.2.15,64,0,443,47794,-A-,TCP
7957,44.215.129.188,10.0.2.15,64,0,443,51168,-A-,TCP
0,10.0.2.15,44.215.129.188,64,0,51168,443,-A-,TCP
7958,44.215.129.188,10.0.2.15,64,0,443,47794,-A-,TCP
7959,44.215.129.188,10.0.2.15,64,0,443,55970,SA-,TCP
7802,10.0.2.15,44.215.129.188,64,0,47794,443,-A-,TCP
45837,10.0.2.15,44.215.129.188,64,0,55970,443,-A-,TCP
45838,10.0.2.15,44.215.129.188,64,0,55970,443,-A-,TCP
7960,44.215.129.188,10.0.2.15,64,0,443,55970,-A-,TCP
7961,44.215.129.188,10.0.2.15,64,0,443,55970,-A-,TCP
7962,44.215.129.188,10.0.2.15,64,0,443,55970,-A-,TCP
45840,10.0.2.15,44.215.129.188,64,0,55970,443,-A-,TCP
45841,10.0.2.15,44.215.129.188,64,0,55970,443,-A-,TCP
7963,44.215.129.188,10.0.2.15,64,0,443,55970,-A-,TCP
7964,44.215.129.188,10.0.2.15,64,0,443,55970,-A-,TCP
45842,10.0.2.15,44.215.129.188,64,0,55970,443,-A-,TCP
56590,10.0.2.15,44.215.116.37,64,0,54514,443,-A-,TCP
7965,44.215.116.37,10.0.2.15,64,0,443,54514,-A-,TCP
4337,10.0.2.15,54.239.17.248,64,0,57032,443,-A-,TCP
39855,10.0.2.15,54.239.17.248,64,0,57054,443,-A-,TCP
7966,54.239.17.248,10.0.2.15,64,0,443,57032,-A-,TCP
7967,54.239.17.248,10.0.2.15,64,0,443,57054,-A-,TCP
45427,10.0.2.15,192.229.211.108,64,0,55320,80,-A-,TCP
7968,192.229.211.108,10.0.2.15,64,0,80,55320,-A-,TCP
48427,10.0.2.15,35.212.37.81,64,0,44608,443,-A-,TCP
7969,35.212.37.81,10.0.2.15,64,0,443,44608,-A-,TCP
31851,10.0.2.15,3.161.8.128,64,0,46168,80,-A-,TCP
